OP;descripcionCliente;descripcionProducto;cantidad;fechaEntrega;OT;codmp;codigoProducto;cantOT;fechaEmision;codMaq;subID;camposTexto;saccod1;alto;ventana
14491  ;DEMA 901270;DEMA ESTUCHE 140X210X35. Estuche. 412 x 363 mm. En CARTULINA TX SUPERA WHITE de 320 g. 6 colores de frente  Barniz mate, Laca sectorizada, Stamping, Troquelado, Pegado lateral;1550.0;2024-11-24;14491;CARTULINA TX SUPERA WHITE BRASIL;-TEDEMA312-;2000.0;2024-11-01;;1;14491   - DEMA 901270 - DEMA ESTUCHE 140X210X35. Estuche. 412 x 363 mm. En CARTULINA TX SUPERA WHITE de 320 g. 6 colores de frente  Barniz mate, Laca se;412;0;0
14492  ;DEMA 901270;DEMA ESTUCHE GENERICO 16X32X4.5. Estuche. 505 x 420 mm. En CARTULINA IBEMA SUPERA de 310 g. 6 colores de frente  Barniz mate, Laca sectorizada, Stamping, Troquelado, Pegado lateral;5600.0;2024-11-25;14492;CARTULINA TX SUPERA WHITE DIST.;-TEDEMA151-TEDEMA156-;10000.0;2024-11-04;;1;14492   - DEMA 901270 - DEMA ESTUCHE GENERICO 16X32X4.5. Estuche. 505 x 420 mm. En CARTULINA IBEMA SUPERA de 310 g. 6 colores de frente  Barniz mate, La;414;0;0
14493  ;DEMA 901270;DEMA ESTUCHE GENERICO 16X32X4.5. Estuche. 505 x 420 mm. En CARTULINA IBEMA SUPERA de 310 g. 6 colores de frente  Barniz mate, Laca sectorizada, Stamping, Troquelado, Pegado lateral;2450.0;2024-11-25;14493;CARTULINA TX SUPERA WHITE DIST.;-TEDEMA152-TEDEMA154-;4000.0;2024-11-04;;1;14493   - DEMA 901270 - DEMA ESTUCHE GENERICO 16X32X4.5. Estuche. 505 x 420 mm. En CARTULINA IBEMA SUPERA de 310 g. 6 colores de frente  Barniz mate, La;414;0;0
14494  ;DEMA 901270;DEMA ESTUCHE GENERICO 16X32X4.5. Estuche. 505 x 420 mm. En CARTULINA IBEMA SUPERA de 310 g. 6 colores de frente  Barniz mate, Laca sectorizada, Stamping, Troquelado, Pegado lateral;2450.0;2024-11-25;14494;CARTULINA TX SUPERA WHITE DIST.;-TEDEMA158-TEDEMA167-;4000.0;2024-11-04;;1;14494   - DEMA 901270 - DEMA ESTUCHE GENERICO 16X32X4.5. Estuche. 505 x 420 mm. En CARTULINA IBEMA SUPERA de 310 g. 6 colores de frente  Barniz mate, La;414;0;0
14495  ;DEMA 901270;DEMA ESTUCHE GENERICO 16X32X4.5. Estuche. 505 x 420 mm. En CARTULINA IBEMA SUPERA de 310 g. 6 colores de frente  Barniz mate, Laca sectorizada, Stamping, Troquelado, Pegado lateral;5600.0;2024-11-25;14495;CARTULINA TX SUPERA WHITE DIST.;-TEDEMA159-TEDEMA164-;10000.0;2024-11-04;;1;14495   - DEMA 901270 - DEMA ESTUCHE GENERICO 16X32X4.5. Estuche. 505 x 420 mm. En CARTULINA IBEMA SUPERA de 310 g. 6 colores de frente  Barniz mate, La;414;0;0
14496  ;DEMA 901270;DEMA ESTUCHE GENERICO 16X32X4.5. Estuche. 505 x 420 mm. En CARTULINA IBEMA SUPERA de 310 g. 6 colores de frente  Barniz mate, Laca sectorizada, Stamping, Troquelado, Pegado lateral;3500.0;2024-11-25;14496;CARTULINA TX SUPERA WHITE DIST.;-TEDEMA163-TEDEMA169-;6000.0;2024-11-04;;1;14496   - DEMA 901270 - DEMA ESTUCHE GENERICO 16X32X4.5. Estuche. 505 x 420 mm. En CARTULINA IBEMA SUPERA de 310 g. 6 colores de frente  Barniz mate, La;414;0;0
14497  ;DEMA 901270;DEMA ESTUCHE GENERICO 16X32X4.5. Estuche. 505 x 420 mm. En CARTULINA IBEMA SUPERA de 310 g. 6 colores de frente  Barniz mate, Laca sectorizada, Stamping, Troquelado, Pegado lateral;875.0;2024-11-25;14497;CARTULINA TX SUPERA WHITE DIST.;-TEDEMA150-;1000.0;2024-11-04;;1;14497   - DEMA 901270 - DEMA ESTUCHE GENERICO 16X32X4.5. Estuche. 505 x 420 mm. En CARTULINA IBEMA SUPERA de 310 g. 6 colores de frente  Barniz mate, La;414;0;0
14498  ;DEMA 901270;DEMA ESTUCHE GENERICO 16X32X4.5. Estuche. 505 x 420 mm. En CARTULINA IBEMA SUPERA de 310 g. 6 colores de frente  Barniz mate, Laca sectorizada, Stamping, Troquelado, Pegado lateral;1925.0;2024-11-25;14498;CARTULINA TX SUPERA WHITE DIST.;-TEDEMA153-;3000.0;2024-11-04;;1;14498   - DEMA 901270 - DEMA ESTUCHE GENERICO 16X32X4.5. Estuche. 505 x 420 mm. En CARTULINA IBEMA SUPERA de 310 g. 6 colores de frente  Barniz mate, La;414;0;0
14499  ;DEMA 901270;DEMA ESTUCHE GENERICO 16X32X4.5. Estuche. 505 x 420 mm. En CARTULINA IBEMA SUPERA de 310 g. 6 colores de frente  Barniz mate, Laca sectorizada, Stamping, Troquelado, Pegado lateral;2980.0;2024-11-25;14499;CARTULINA TX SUPERA WHITE DIST.;-TEDEMA157-;5000.0;2024-11-04;;1;14499   - DEMA 901270 - DEMA ESTUCHE GENERICO 16X32X4.5. Estuche. 505 x 420 mm. En CARTULINA IBEMA SUPERA de 310 g. 6 colores de frente  Barniz mate, La;414;0;0
14500  ;DEMA 901270;DEMA ESTUCHE GENERICO 16X32X4.5. Estuche. 505 x 420 mm. En CARTULINA IBEMA SUPERA de 310 g. 6 colores de frente  Barniz mate, Laca sectorizada, Stamping, Troquelado, Pegado lateral;2450.0;2024-11-25;14500;CARTULINA TX SUPERA WHITE DIST.;-TEDEMA165-;4000.0;2024-11-04;;1;14500   - DEMA 901270 - DEMA ESTUCHE GENERICO 16X32X4.5. Estuche. 505 x 420 mm. En CARTULINA IBEMA SUPERA de 310 g. 6 colores de frente  Barniz mate, La;414;0;0
14501  ;DEMA 901270;DEMA ESTUCHE GENERICO 16X32X4.5. Estuche. 505 x 420 mm. En CARTULINA IBEMA SUPERA de 310 g. 6 colores de frente  Barniz mate, Laca sectorizada, Stamping, Troquelado, Pegado lateral;1125.0;2024-11-25;14501;CARTULINA TX SUPERA WHITE DIST.;-TEDEMA166-;1500.0;2024-11-04;;1;14501   - DEMA 901270 - DEMA ESTUCHE GENERICO 16X32X4.5. Estuche. 505 x 420 mm. En CARTULINA IBEMA SUPERA de 310 g. 6 colores de frente  Barniz mate, La;414;0;0
14502  ;DEMA 901270;DEMA ESTUCHES PLANO  15X26X4. Estuche. 381 x 510 mm. En CARTULINA TX SUPERA WHITE de 320 g. 6 colores de frente  Barniz mate, Laca sectorizada, Stamping, Troquelado, Pegado lateral;3550.0;2024-11-25;14502;CARTULINA TX SUPERA WHITE BRASIL;-TEDEMA201-TEDEMA202-;6000.0;2024-11-05;;1;14502   - DEMA 901270 - DEMA ESTUCHES PLANO  15X26X4. Estuche. 381 x 510 mm. En CARTULINA TX SUPERA WHITE de 320 g. 6 colores de frente  Barniz mate, La;385;0;0
14503  ;DEMA 901270;DEMA ESTUCHES PLANO  15X26X4. Estuche. 381 x 510 mm. En CARTULINA TX SUPERA WHITE de 320 g. 6 colores de frente  Barniz mate, Laca sectorizada, Stamping, Troquelado, Pegado lateral;4700.0;2024-11-25;14503;CARTULINA TX SUPERA WHITE BRASIL;-TEDEMA205-TEDEMA211-;8000.0;2024-11-05;;1;14503   - DEMA 901270 - DEMA ESTUCHES PLANO  15X26X4. Estuche. 381 x 510 mm. En CARTULINA TX SUPERA WHITE de 320 g. 6 colores de frente  Barniz mate, La;385;0;0
14504  ;DEMA 901270;DEMA ESTUCHES PLANO  15X26X4. Estuche. 381 x 510 mm. En CARTULINA TX SUPERA WHITE de 320 g. 6 colores de frente  Barniz mate, Laca sectorizada, Stamping, Troquelado, Pegado lateral;2600.0;2024-11-25;14504;CARTULINA TX SUPERA WHITE BRASIL;-TEDEMA218-TEDEMA219-;4000.0;2024-11-05;;1;14504   - DEMA 901270 - DEMA ESTUCHES PLANO  15X26X4. Estuche. 381 x 510 mm. En CARTULINA TX SUPERA WHITE de 320 g. 6 colores de frente  Barniz mate, La;385;0;0
14505  ;DEMA 901270;DEMA ESTUCHES PLANO  15X26X4. Estuche. 381 x 510 mm. En CARTULINA TX SUPERA WHITE de 320 g. 6 colores de frente  Barniz mate, Laca sectorizada, Stamping, Troquelado, Pegado lateral;1000.0;2024-11-25;14505;CARTULINA TX SUPERA WHITE BRASIL;-TEDEMA207-;1000.0;2024-11-05;;1;14505   - DEMA 901270 - DEMA ESTUCHES PLANO  15X26X4. Estuche. 381 x 510 mm. En CARTULINA TX SUPERA WHITE de 320 g. 6 colores de frente  Barniz mate, La;385;0;0
14506  ;DEMA 901270;DEMA ESTUCHES PLANO  15X26X4. Estuche. 381 x 510 mm. En CARTULINA TX SUPERA WHITE de 320 g. 6 colores de frente  Barniz mate, Laca sectorizada, Stamping, Troquelado, Pegado lateral;1550.0;2024-11-25;14506;CARTULINA TX SUPERA WHITE BRASIL;-TEDEMA221-;2000.0;2024-11-05;;1;14506   - DEMA 901270 - DEMA ESTUCHES PLANO  15X26X4. Estuche. 381 x 510 mm. En CARTULINA TX SUPERA WHITE de 320 g. 6 colores de frente  Barniz mate, La;385;0;0
14507  ;DEMA 901270;DEMA ESTUCHES PLANO  15X26X4. Estuche. 381 x 510 mm. En CARTULINA TX SUPERA WHITE de 320 g. 6 colores de frente  Barniz mate, Laca sectorizada, Stamping, Troquelado, Pegado lateral;3650.0;2024-11-25;14507;CARTULINA TX SUPERA WHITE BRASIL;-TEDEMA203-;6000.0;2024-11-05;;1;14507   - DEMA 901270 - DEMA ESTUCHES PLANO  15X26X4. Estuche. 381 x 510 mm. En CARTULINA TX SUPERA WHITE de 320 g. 6 colores de frente  Barniz mate, La;385;0;0
14508  ;DEMA 901270;DEMA ESTUCHES PLANO  15X26X4. Estuche. 381 x 510 mm. En CARTULINA TX SUPERA WHITE de 320 g. 6 colores de frente  Barniz mate, Laca sectorizada, Stamping, Troquelado, Pegado lateral;2367.0;2024-11-25;14508;CARTULINA TX SUPERA WHITE BRASIL;-TEDEMA220-;4000.0;2024-11-05;;1;14508   - DEMA 901270 - DEMA ESTUCHES PLANO  15X26X4. Estuche. 381 x 510 mm. En CARTULINA TX SUPERA WHITE de 320 g. 6 colores de frente  Barniz mate, La;385;0;0
14509  ;DEMA 901270;DEMA ESTUCHES PLANO  15X26X4. Estuche. 381 x 510 mm. En CARTULINA TX SUPERA WHITE de 320 g. 6 colores de frente  Barniz mate, Laca sectorizada, Stamping, Troquelado, Pegado lateral;2075.0;2024-11-25;14509;CARTULINA TX SUPERA WHITE BRASIL;-TEDEMA209-;3000.0;2024-11-05;;1;14509   - DEMA 901270 - DEMA ESTUCHES PLANO  15X26X4. Estuche. 381 x 510 mm. En CARTULINA TX SUPERA WHITE de 320 g. 6 colores de frente  Barniz mate, La;385;0;0
14510  ;DEMA 901270;DEMA ESTUCHES PLANO  15X26X4. Estuche. 381 x 510 mm. En CARTULINA TX SUPERA WHITE de 320 g. 6 colores de frente  Barniz mate, Laca sectorizada, Stamping, Troquelado, Pegado lateral;3650.0;2024-11-25;14510;CARTULINA TX SUPERA WHITE BRASIL;-TEDEMA216-;6000.0;2024-11-05;;1;14510   - DEMA 901270 - DEMA ESTUCHES PLANO  15X26X4. Estuche. 381 x 510 mm. En CARTULINA TX SUPERA WHITE de 320 g. 6 colores de frente  Barniz mate, La;385;0;0
14511  ;DEMA 901270;DEMA ESTUCHES PLANO  15X26X4. Estuche. 381 x 510 mm. En CARTULINA TX SUPERA WHITE de 320 g. 6 colores de frente  Barniz mate, Laca sectorizada, Stamping, Troquelado, Pegado lateral;3100.0;2024-11-25;14511;CARTULINA TX SUPERA WHITE BRASIL;-TEDEMA217-;5000.0;2024-11-05;;1;14511   - DEMA 901270 - DEMA ESTUCHES PLANO  15X26X4. Estuche. 381 x 510 mm. En CARTULINA TX SUPERA WHITE de 320 g. 6 colores de frente  Barniz mate, La;385;0;0
14512  ;BIG PONS;TEBPONS001- CAJA DELIVERY. Estuche. 105 mm. x 205 mm. x 124 mm. En Cartulina Duplex PDS de 350 g. 3 colores de frente  Barniz brillante, Troquelado, Pegado fondo automatico;23800.0;2024-11-19;14512;Cartulina Duplex PDS FABRICA;-TEBPONS001-;90000.0;2024-11-07;;1;14512   - BIG PONS - TEBPONS001- CAJA DELIVERY. Estuche. 105 mm. x 205 mm. x 124 mm. En Cartulina Duplex PDS de 350 g. 3 colores de frente  Barniz br;652;0;0
14513  ;GREEN EAT;FAJA 50.5 X 8 NUEVA. Estuche. 505 x 80 mm. En Cartulina Duplex PDS de 290 g. 4 colores de frente  Barniz brillante, Troquelado;5750.0;2024-11-22;14513;Cartulina Duplex PDS FABRICA;-TEGREEN023-TEGREEN024-;30000.0;2024-11-11;;1;14513   - GREEN EAT - FAJA 50.5 X 8 NUEVA. Estuche. 505 x 80 mm. En Cartulina Duplex PDS de 290 g. 4 colores de frente  Barniz brillante, Troquelado;779;0;0
14514  ;WEGA;FCI 1630. Estuche. 157 mm. x 63 mm. x 63 mm. En Cartulina Duplex PDS de 290 g. 3 colores de frente  Barniz brillante, Troquelado, Pegado lateral;13500.0;2024-12-02;14514;Cartulina Duplex PDS FABRICA;-TEWEGA039-;100000.0;2024-11-11;;1;14514   - WEGA - FCI 1630. Estuche. 157 mm. x 63 mm. x 63 mm. En Cartulina Duplex PDS de 290 g. 3 colores de frente  Barniz brillante, Troquelado;754;0;0
14515  ;2 GO;TE2GO001 - ESTUCHE WOK CHINESSE NOODLES. Estuche. 300 x 300 mm. En LINER KRAFT de 350 g. 2 colores de frente  Barniz brillante, Laminado Polip. Mate , Troquelado;3125.0;2024-12-06;14515;Cartulina Duplex PDS;-TE2GO001-;10000.0;2024-11-14;;1;14515   - 2 GO - TE2GO001 - ESTUCHE WOK CHINESSE NOODLES. Estuche. 300 x 300 mm. En LINER KRAFT de 350 g. 2 colores de frente  Barniz brillante, ;247;0;0
14516  ;SELECT;ESTUCHE SELECT 170X150X85. Estuche. 170 mm. x 150 mm. x 85 mm. En Cartulina Triplex PDS de 350 grs./m2, impresion 3 colores frente   LACA UV Brillante, Troquelados, Pegado ventana PS Cristal, &, Pegado Chap. Lateral;4450.0;2024-12-05;14516;Cartulina Triplex PDS FABRICA;-TESELECT001-TESELECT001E-;15000.0;2024-11-29;;1;14516   - SELECT - ESTUCHE SELECT 170X150X85. Estuche. 170 mm. x 150 mm. x 85 mm. En Cartulina Triplex PDS de 350 grs./m2, impresion 3 colores fren;023;0;0
14518  ;MEDORO;TCKENIN001B - BASE KENINGTON. Estuche. 460 x 510 mm. En CARTON GRIS CIFIVE N°40 de 357 g. 0 color de frente  Troquelado, Pegado 4 puntas;3380.0;2024-11-15;14518;CARTON GRIS CIFIVE N°40;-TCKENIN001B-;5760.0;2024-11-12;;1;14518   - MEDORO - TCKENIN001B - BASE KENINGTON. Estuche. 460 x 510 mm. En CARTON GRIS CIFIVE N°40 de 357 g. 0 color de frente  Troquelado, Pegado ;249;0;0
14520  ;FOOD PACK;CDTAC001 - CAJA DELIVERY/TAKE AWAY CHICA. Estuche. 340 x 405 mm. En LINER KRAFT de 350 g. 2 colores de frente  Barniz brillante, Troquelado;3938.0;2024-11-20;14520;LINER KRAFT;-CDTAC025-;15000.0;2024-11-11;;1;14520   - FOOD PACK - CDTAC001 - CAJA DELIVERY/TAKE AWAY CHICA. Estuche. 340 x 405 mm. En LINER KRAFT de 350 g. 2 colores de frente  Barniz brillante,;447;0;0
14521  ;FOOD PACK;CTADFC001 -  CAJA DELIVERY / FACTURAS CHICA. Estuche. 333 x 659 mm. En LINER KRAFT de 350 g. 0 color de frente  Troquelado, Pegado fondo automatico;6350.0;2024-11-28;14521;LINER KRAFT;-CTADFC001-;25000.0;2024-11-11;;1;14521   - FOOD PACK - CTADFC001 -  CAJA DELIVERY / FACTURAS CHICA. Estuche. 333 x 659 mm. En LINER KRAFT de 350 g. 0 color de frente  Troquelado, Pega;484;0;0
14522  ;FOOD PACK;CEHT001 - ESTUCHE HAMBURGUESAS / TORTA. Estuche. 234 x 381 mm. En LINER KRAFT de 350 g. 0 color de frente  Troquelado, Pegado 4 puntas;8200.0;2024-11-29;14522;LINER KRAFT;-CEHT001-;30000.0;2024-11-11;;1;14522   - FOOD PACK - CEHT001 - ESTUCHE HAMBURGUESAS / TORTA. Estuche. 234 x 381 mm. En LINER KRAFT de 350 g. 0 color de frente  Troquelado, Pegado 4 ;454;0;0
14523  ;FOOD PACK;CBG001 - BANDEJA GRANDE. Estuche. 310 x 210 mm. En LINER KRAFT de 350 g. 0 color de frente  Troquelado;2856.0;2024-11-26;14523;LINER KRAFT;-CBG001-;23000.0;2024-11-11;;1;14523   - FOOD PACK - CBG001 - BANDEJA GRANDE. Estuche. 310 x 210 mm. En LINER KRAFT de 350 g. 0 color de frente  Troquelado;501;0;0
14524  ;FOOD PACK;CTADG001 -  CAJA TAKE AWAY/DELIVERY GRANDE. Estuche. 495 x 421 mm. En MICROCORRUGADO de 400 g. 0 color de frente  Troquelado;20400.0;2024-11-29;14524;MICROCORRUGADO;-CTADG025-;40000.0;2024-11-14;;1;14524   - FOOD PACK - CTADG001 -  CAJA TAKE AWAY/DELIVERY GRANDE. Estuche. 495 x 421 mm. En MICROCORRUGADO de 400 g. 0 color de frente  Troquelado;460;0;0
14525  ;FOOD PACK;CTADM001 - CAJA DELIVERY/TAKE AWAY MEDIANA. Estuche. 395 x 446 mm. En MICROCORRUGADO de 400 g. 0 color de frente  Troquelado;15300.0;2024-11-29;14525;MICROCORRUGADO;-CTADM001-;30000.0;2024-11-14;;1;14525   - FOOD PACK - CTADM001 - CAJA DELIVERY/TAKE AWAY MEDIANA. Estuche. 395 x 446 mm. En MICROCORRUGADO de 400 g. 0 color de frente  Troquelado;512;0;0
